Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
001   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
002   	000	-	4.000000	0.093946	33.262409	0.032557	0.989130	0.143770	0.093946	0.093946	1.000000	1.000000
003   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
004   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
005   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
006   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
007   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
008   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
009   	001	-	6.000000	0.004175	3.681819	0.002728	0.833333	0.012048	0.004175	0.004175	1.000000	1.000000
010   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
011   	001	-	6.000000	0.012526	11.045458	0.008185	0.928571	0.036145	0.012526	0.012526	1.000000	1.000000
012   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
013   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
014   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
015   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
016   	001	-	5.000000	0.025052	15.009750	0.014283	0.884615	0.066265	0.022965	0.022965	0.916667	0.916667
017   	001	-	6.000000	0.006263	5.522729	0.004093	0.875000	0.018072	0.006263	0.006263	1.000000	1.000000
-    	- 	018	4.277778	0.068546	26.497038	0.022948	0.942725	0.122098	0.989562	0.061297	0.979023	0.979023
