{Wkna8=t} => {Class=True}
{Skrxp=t} => {Class=True}
{Bxqsq=t} => {Class=True}
{Wknck=t} => {Class=True}
{Bkon8=f,Wkna8=t} => {Class=True}
{Skrxp=t,Wknck=t} => {Class=True}
{Dsopp=f,Skrxp=t} => {Class=True}
{Bknwy=f,Skrxp=t} => {Class=True}
{Bkblk=t,Wkovl=f} => {Class=True}
{Reskr=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Wtoeg=t} => {Class=True}
{Bkxwp=t,Wkpos=f} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Skewr=f} => {Class=True}
{Bkxwp=t,R2ar8=f} => {Class=True}
{Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxwp=t} => {Class=True}
{Bkxwp=t,Cntxt=f} => {Class=True}
{Bkxwp=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxwp=t} => {Class=True}
{Bkxwp=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Katri5=n} => {Class=True}
{Bkxwp=t,Rkxwp=f} => {Class=True}
{Bkxwp=t,Rimmx=f} => {Class=True}
{Bkona=f,Bkxwp=t} => {Class=True}
{Bxqsq=t,Wkpos=f} => {Class=True}
{Wknck=t,Wkpos=f} => {Class=True}
{Cntxt=f,Wkpos=f} => {Class=True}
{Katri5=n,Wkpos=f} => {Class=True}
{Wkcti=f,Wkpos=f} => {Class=True}
{Bxqsq=t,Dwipd=g} => {Class=True}
{Bkspr=t,Bxqsq=t} => {Class=True}
{Bkxcr=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Wkovl=f} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bxqsq=t} => {Class=True}
{Bxqsq=t,Simpl=f} => {Class=True}
{Bxqsq=t,Wknck=f} => {Class=True}
{Bxqsq=t,R2ar8=t} => {Class=True}
{Bxqsq=t,Skewr=t} => {Class=True}
{Bxqsq=t,Wtoeg=n} => {Class=True}
{Bxqsq=t,Katri5=n} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bxqsq=t,Wkcti=f} => {Class=True}
{Bxqsq=t,Reskr=f} => {Class=True}
{Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bxqsq=t} => {Class=True}
{Bxqsq=t,Skrxp=f} => {Class=True}
{Bxqsq=t,Thrsk=f} => {Class=True}
{Dwipd=g,Wknck=t} => {Class=True}
{Bkspr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxcr=t} => {Class=True}
{Blxwp=t,Wknck=t} => {Class=True}
{Cntxt=t,Wknck=t} => {Class=True}
{Bkxbq=t,Wknck=t} => {Class=True}
{Simpl=f,Wknck=t} => {Class=True}
{Wknck=t,Wkovl=t} => {Class=True}
{R2ar8=t,Wknck=t} => {Class=True}
{Skewr=t,Wknck=t} => {Class=True}
{Wknck=t,Wtoeg=n} => {Class=True}
{Katri5=n,Wknck=t} => {Class=True}
{Rkxwp=f,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Wkcti=f,Wknck=t} => {Class=True}
{Reskr=f,Wknck=t} => {Class=True}
{Dsopp=f,Wknck=t} => {Class=True}
{Bknwy=f,Wknck=t} => {Class=True}
{Wkna8=f,Wknck=t} => {Class=True}
{Thrsk=f,Wknck=t} => {Class=True}
{Blxwp=t,Rkxwp=f} => {Class=True}
{Katri5=b,R2ar8=t,Rkxwp=f} => {Class=True}
{Bkblk=t,Rimmx=f,Wkovl=f} => {Class=True}
{Bkblk=t,Wkcti=f,Wkovl=f} => {Class=True}
{Bkblk=t,Bknwy=f,Wkovl=f} => {Class=True}
{Bkblk=t,Thrsk=f,Wkovl=f} => {Class=True}
{Reskr=t,Rimmx=f,Wkpos=f} => {Class=True}
{Bkxbq=f,Reskr=t,Rimmx=f} => {Class=True}
{Katri5=n,Reskr=t,Rkxwp=f} => {Class=True}
{Katri5=n,Reskr=t,Rimmx=f} => {Class=True}
{Reskr=t,Thrsk=f,Wkcti=f} => {Class=True}
{Cntxt=f,Rkxwp=t,Wknck=t} => {Class=True}
{Rkxwp=t,Wknck=t,Wkpos=t} => {Class=True}
{Bknwy=f,Rkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Rimmx=f,Wkpos=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Cntxt=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,R2ar8=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dwipd=l} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skewr=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkona=f,Bkxwp=t,Bxqsq=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Rimmx=f,Skewr=f} => {Class=True}
{Bkona=f,Bkxwp=t,Skewr=f} => {Class=True}
{Bkxwp=t,Dwipd=l,R2ar8=f} => {Class=True}
{Bkxwp=t,R2ar8=f,Rimmx=f} => {Class=True}
{Bkxwp=t,Dsopp=f,R2ar8=f} => {Class=True}
{Bkxwp=t,R2ar8=f,Wkna8=f} => {Class=True}
{Bkspr=t,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkspr=t,Bkxwp=t,Dwipd=l} => {Class=True}
{Bkspr=t,Bkxwp=t,Skewr=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Cntxt=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Simpl=f,Wkovl=f} => {Class=True}
{Bkxwp=t,R2ar8=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Katri5=n,Wkovl=f} => {Class=True}
{Bkxwp=t,Rimmx=f,Wkovl=f} => {Class=True}
{Bkona=f,Bkxwp=t,Wkovl=f} => {Class=True}
{Bkxwp=t,Wkna8=f,Wkovl=f} => {Class=True}
{Bkxwp=t,Cntxt=f,Wknck=t} => {Class=True}
{Bkxwp=t,Simpl=f,Wknck=t} => {Class=True}
{Bkxwp=t,R2ar8=t,Wknck=t} => {Class=True}
{Bkxwp=t,Dwipd=l,Wknck=t} => {Class=True}
{Bkxwp=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxwp=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxwp=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxwp=t,Skrxp=f,Wknck=t} => {Class=True}
{Bkxwp=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxwp=t,Wknck=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Cntxt=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Simpl=f} => {Class=True}
{Bkspr=f,Bkxbq=f,Bkxwp=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Skewr=t} => {Class=True}
{Bkxbq=f,Bkxwp=t,Katri5=n} => {Class=True}
{Bkxbq=f,Bkxwp=t,Rkxwp=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Rimmx=f} => {Class=True}
{Bkxbq=f,Bkxwp=t,Skrxp=f} => {Class=True}
{Bkxwp=t,Cntxt=f,Simpl=f} => {Class=True}
