{TopRight= b,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopMiddle= x,TopRight= b,MiddleMiddle= o} => {Class= True}
{TopLeft=b,MiddleLeft= x,MiddleMiddle= o} => {Class= True}
{TopLeft=b,TopMiddle= x,MiddleMiddle= o} => {Class= True}
{MiddleMiddle= o,BottomMiddle= x,BottomRight= b} => {Class= True}
{MiddleMiddle= o,MiddleRight= x,BottomRight= b} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,BottomLeft= b} => {Class= True}
{MiddleMiddle= o,BottomLeft= b,BottomMiddle= x} => {Class= True}
{TopMiddle= o,MiddleMiddle= o,BottomMiddle= o} => {Class= True}
{BottomLeft= o,BottomMiddle= o,BottomRight= o} => {Class= True}
{TopLeft=o,TopMiddle= o,TopRight= o} => {Class= True}
{MiddleLeft= o,MiddleMiddle= o,MiddleRight= o} => {Class= True}
{TopRight= o,MiddleRight= o,BottomRight= o} => {Class= True}
{TopLeft=o,MiddleLeft= o,BottomLeft= o} => {Class= True}
{TopLeft=o,MiddleMiddle= o,BottomRight= o} => {Class= True}
{TopLeft=o,MiddleLeft= x,MiddleMiddle= o} => {Class= True}
{TopLeft=o,TopMiddle= x,MiddleMiddle= o} => {Class= True}
{TopRight= o,MiddleMiddle= o,BottomLeft= o} => {Class= True}
{TopRight= o,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopMiddle= x,TopRight= o,MiddleMiddle= o} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,BottomLeft= o} => {Class= True}
{MiddleMiddle= o,BottomLeft= o,BottomMiddle= x} => {Class= True}
{MiddleMiddle= o,BottomMiddle= x,BottomRight= o} => {Class= True}
{MiddleMiddle= o,MiddleRight= x,BottomRight= o} => {Class= True}
{TopLeft=o,MiddleLeft= x,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopLeft=o,TopMiddle= x,MiddleLeft= x,MiddleMiddle= o} => {Class= True}
{TopLeft=o,MiddleLeft= x,MiddleMiddle= o,BottomLeft= x} => {Class= True}
{TopLeft=o,TopMiddle= x,MiddleMiddle= o,BottomMiddle= x} => {Class= True}
{TopLeft=o,TopMiddle= x,TopRight= x,MiddleMiddle= o} => {Class= True}
{TopRight= o,MiddleLeft= x,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopMiddle= x,TopRight= o,MiddleMiddle= o,BottomMiddle= x} => {Class= True}
{TopMiddle= x,TopRight= o,MiddleMiddle= o,MiddleRight= x} => {Class= True}
{TopRight= o,MiddleMiddle= o,MiddleRight= x,BottomRight= x} => {Class= True}
{TopLeft=x,TopMiddle= x,TopRight= o,MiddleMiddle= o} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,BottomLeft= o,BottomMiddle= x} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,MiddleRight= x,BottomLeft= o} => {Class= True}
{TopLeft=x,MiddleLeft= x,MiddleMiddle= o,BottomLeft= o} => {Class= True}
{TopMiddle= x,MiddleMiddle= o,BottomLeft= o,BottomMiddle= x} => {Class= True}
{MiddleMiddle= o,BottomLeft= o,BottomMiddle= x,BottomRight= x} => {Class= True}
{MiddleLeft= x,MiddleMiddle= o,MiddleRight= x,BottomRight= o} => {Class= True}
{MiddleMiddle= o,MiddleRight= x,BottomMiddle= x,BottomRight= o} => {Class= True}
{TopMiddle= x,MiddleMiddle= o,BottomMiddle= x,BottomRight= o} => {Class= True}
{MiddleMiddle= o,BottomLeft= x,BottomMiddle= x,BottomRight= o} => {Class= True}
