{Bxqsq=t,Skewr=t} => {Class=True}
{Bxqsq=t,Wtoeg=n} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{R2ar8=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bxqsq=t,R2ar8=t,Wkcti=f} => {Class=True}
{Bxqsq=t,Dsopp=f,R2ar8=t} => {Class=True}
{Bxqsq=t,R2ar8=t,Skrxp=f} => {Class=True}
{Bxqsq=t,Qxmsq=f,Skewr=t} => {Class=True}
{Bxqsq=t,Dsopp=f,Wtoeg=n} => {Class=True}
{Bkona=f,Bxqsq=t,Wtoeg=n} => {Class=True}
{Bxqsq=t,Qxmsq=f,Wtoeg=n} => {Class=True}
{Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Katri5=n,R2ar8=t,Wknck=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t} => {Class=True}
{R2ar8=t,Wkcti=f,Wknck=t} => {Class=True}
{R2ar8=t,Reskr=f,Wknck=t} => {Class=True}
{Dsopp=f,R2ar8=t,Wknck=t} => {Class=True}
{Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bxqsq=t,R2ar8=t,Skrxp=f,Wkcti=f} => {Class=True}
{Bxqsq=t,Qxmsq=f,R2ar8=t,Wkcti=f} => {Class=True}
{Bxqsq=t,Dsopp=f,R2ar8=t,Skrxp=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Qxmsq=f,R2ar8=t} => {Class=True}
{Bkona=f,Bxqsq=t,R2ar8=t,Skrxp=f} => {Class=True}
{Bkona=f,Bxqsq=t,Qxmsq=f,R2ar8=t} => {Class=True}
{Bxqsq=t,Qxmsq=f,R2ar8=t,Skrxp=f} => {Class=True}
{Bkona=f,Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Skrxp=f,Wkcti=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Thrsk=f,Wkcti=f} => {Class=True}
{Bxqsq=t,Dsopp=f,Qxmsq=f,Wkcti=f} => {Class=True}
{Katri5=n,Qxmsq=f,R2ar8=t,Wknck=t} => {Class=True}
