{Sgot=[14,44),AlbuMin=[2.1,3.8)} => {Class=True}
{Sgot=[14,44),AlbuMin=[2.1,3.8),ProTime=[0,52)} => {Class=True}
{AlkPhosphate=[75.3,106),AlbuMin=[2.1,3.8),ProTime=[0,52)} => {Class=True}
{Age=[44.7,72],AlbuMin=[2.1,3.8),ProTime=[0,52)} => {Class=True}
{Bilirubin=[1.2,4.8],Sgot=[14,44),AlbuMin=[2.1,3.8)} => {Class=True}
{AlkPhosphate=[75.3,106),Sgot=[44,80.7),AlbuMin=[2.1,3.8)} => {Class=True}
{Bilirubin=[1.2,4.8],AlkPhosphate=[75.3,106),AlbuMin=[2.1,3.8)} => {Class=True}
{Age=[44.7,72],Bilirubin=[1.2,4.8],AlbuMin=[2.1,3.8)} => {Class=True}
{Age=[34,44.7),AlbuMin=[3.8,4.1),ProTime=[0,52)} => {Class=True}
{Age=[34,44.7),AlkPhosphate=[106,280],AlbuMin=[3.8,4.1)} => {Class=True}
{AlkPhosphate=[75.3,106),Sgot=[44,80.7),ProTime=[0,52)} => {Class=True}
{Bilirubin=[1.2,4.8],AlkPhosphate=[75.3,106),ProTime=[0,52)} => {Class=True}
{Age=[44.7,72],Bilirubin=[1.2,4.8],AlbuMin=[2.1,3.8),ProTime=[0,52)} => {Class=True}
{Age=[34,44.7),Bilirubin=[0.3,0.8),Sgot=[44,80.7),AlbuMin=[3.8,4.1)} => {Class=True}
{Age=[44.7,72],Bilirubin=[1.2,4.8],Sgot=[44,80.7),ProTime=[0,52)} => {Class=True}
{Age=[44.7,72],Bilirubin=[1.2,4.8],Sgot=[80.7,420],AlbuMin=[2.1,3.8),ProTime=[0,52)} => {Class=True}
{Age=[44.7,72],Bilirubin=[1.2,4.8],AlkPhosphate=[106,280],Sgot=[80.7,420],AlbuMin=[2.1,3.8)} => {Class=True}
