{Bxqsq=t,Rimmx=f} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Dsopp=f,Rimmx=f,Wknck=t} => {Class=True}
{Dsopp=f,Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Dsopp=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Dsopp=f,Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Dsopp=f,Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Dsopp=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Dsopp=f,Qxmsq=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Qxmsq=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bknwy=f,Dsopp=f,Qxmsq=f,Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t} => {Class=True}
{Blxwp=t,Bxqsq=t} => {Class=True}
{Bxqsq=t,Rimmx=f} => {Class=True}
{Bkxcr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f} => {Class=True}
{Bkspr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxcr=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxcr=t,Wkcti=f,Wknck=t} => {Class=True}
{Bkxcr=t,Reskr=f,Wknck=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxcr=t,Wknck=t} => {Class=True}
{Bkxcr=t,Wkna8=f,Wknck=t} => {Class=True}
{Bkxcr=t,Thrsk=f,Wknck=t} => {Class=True}
{Blxwp=t,Rimmx=f,Wknck=t} => {Class=True}
{Cntxt=t,Rimmx=f,Wknck=t} => {Class=True}
{Bkxbq=f,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Simpl=f,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wkovl=t} => {Class=True}
{R2ar8=t,Rimmx=f,Wknck=t} => {Class=True}
{Rimmx=f,Skewr=t,Wknck=t} => {Class=True}
{Rimmx=f,Wknck=t,Wtoeg=n} => {Class=True}
{Rimmx=f,Wkcti=f,Wknck=t} => {Class=True}
{Bknwy=f,Rimmx=f,Wknck=t} => {Class=True}
{Qxmsq=f,Rimmx=f,Wknck=t} => {Class=True}
{Reskd=f,Rimmx=f,Wknck=t} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Dsopp=f,Skrxp=f} => {Class=True}
{Bkxwp=t,Bxqsq=t,Skrxp=f,Wkna8=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Katri5=n,Skrxp=f} => {Class=True}
{Bkxcr=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Bkona=f,Bkxcr=t,Bxqsq=t,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Wkcti=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Wkcti=f,Wkna8=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Dsopp=f,Skrxp=f} => {Class=True}
{Blxwp=t,Bxqsq=t,Skrxp=f,Wkna8=f} => {Class=True}
{Bkxcr=t,Katri5=n,Wkcti=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Reskr=f,Wknck=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Katri5=n,Wknck=t} => {Class=True}
{Bkona=f,Bkxcr=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Wkna8=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Skrxp=f,Wknck=t} => {Class=True}
{Bkxcr=t,Katri5=n,Thrsk=f,Wknck=t} => {Class=True}
{Bkon8=f,Bkxcr=t,Katri5=n,Wknck=t} => {Class=True}
{Bkxcr=t,Dsopp=f,Wkcti=f,Wknck=t} => {Class=True}
{Bkona=f,Bkxcr=t,Wkcti=f,Wknck=t} => {Class=True}
