{SepalLength=[6.3,7.9]} => {Class= True}
{PetalLength=[4.9,6.9]} => {Class= True}
{PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[4.3,5.4),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalWidth=[2,2.9),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalWidth=[2.9,3.2),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[6.3,7.9],PetalLength=[4.9,6.9]} => {Class= True}
{SepalLength=[6.3,7.9],PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[6.3,7.9],SepalWidth=[3.2,4.4]} => {Class= True}
{PetalLength=[4.9,6.9],PetalWidth=[1.6,2.5]} => {Class= True}
{SepalWidth=[3.2,4.4],PetalLength=[4.9,6.9]} => {Class= True}
{SepalWidth=[2,2.9),PetalLength=[2.63,4.9),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[6.3,7.9],SepalWidth=[2,2.9),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalWidth=[2.9,3.2),PetalLength=[2.63,4.9),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[5.4,6.3),SepalWidth=[2.9,3.2),PetalLength=[4.9,6.9]} => {Class= True}
{SepalLength=[5.4,6.3),SepalWidth=[2.9,3.2),PetalWidth=[1.6,2.5]} => {Class= True}
{SepalLength=[5.4,6.3),PetalLength=[4.9,6.9],PetalWidth=[0.867,1.6)} => {Class= True}
{SepalLength=[6.3,7.9],PetalLength=[4.9,6.9],PetalWidth=[1.6,2.5]} => {Class= True}
