Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
001   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
002   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
003   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
004   	001	-	6.000000	0.012526	11.045458	0.008185	0.928571	0.036145	0.012526	0.012526	1.000000	1.000000
005   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
006   	001	-	7.000000	0.005219	4.602274	0.003410	0.857143	0.015060	0.005219	0.005219	1.000000	1.000000
007   	001	-	6.000000	0.012526	11.045458	0.008185	0.928571	0.036145	0.012526	0.012526	1.000000	1.000000
008   	001	-	4.000000	0.008351	7.363639	0.005457	0.900000	0.024096	0.008351	0.008351	1.000000	1.000000
009   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
-    	- 	010	4.300000	0.119102	18.063679	0.022325	0.903924	0.163343	0.758873	0.096660	0.950487	0.950487
