Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	6.000000	0.414894	387.029633	0.157241	0.900602	0.715998	0.373905	0.373905	0.901207	0.901207
001   	000	-	6.000000	0.441176	306.629669	0.147271	0.855524	0.723188	0.377660	0.377660	0.856028	0.856028
002   	000	-	9.000000	0.582603	163.074539	0.127545	0.740880	0.826842	0.431790	0.431790	0.741139	0.741139
003   	000	-	5.000000	0.678348	78.341362	0.096632	0.664516	0.863391	0.450876	0.450876	0.664668	0.664668
004   	000	-	10.000000	0.768148	27.475515	0.061315	0.601954	0.885560	0.462453	0.462453	0.602037	0.602037
005   	000	-	9.000000	0.777847	26.521845	0.060630	0.600080	0.893948	0.466834	0.466834	0.600161	0.600161
006   	000	-	8.000000	0.582603	163.074539	0.127545	0.740880	0.826842	0.431790	0.431790	0.741139	0.741139
007   	000	-	6.000000	0.675219	80.402031	0.097641	0.666667	0.862193	0.450250	0.450250	0.666821	0.666821
008   	000	-	5.000000	0.652065	99.784172	0.106603	0.685523	0.856201	0.447121	0.447121	0.685701	0.685701
009   	000	-	8.000000	0.583855	161.786469	0.127205	0.739829	0.827442	0.432103	0.432103	0.740086	0.740086
010   	000	-	8.000000	0.605757	139.549911	0.120773	0.721362	0.837028	0.437109	0.437109	0.721591	0.721591
011   	000	-	11.000000	0.768148	27.475515	0.061315	0.601954	0.885560	0.462453	0.462453	0.602037	0.602037
012   	000	-	6.000000	0.633292	110.695694	0.110462	0.696446	0.844817	0.441176	0.441176	0.696640	0.696640
013   	000	-	6.000000	0.648936	102.244286	0.107611	0.687861	0.855003	0.446496	0.446496	0.688042	0.688042
014   	000	-	6.000000	0.607009	138.427505	0.120433	0.720391	0.837627	0.437422	0.437422	0.720619	0.720619
015   	000	-	7.000000	0.632040	111.632225	0.110803	0.697329	0.844218	0.440864	0.440864	0.697525	0.697525
016   	000	-	8.000000	0.620463	124.922722	0.115910	0.708816	0.842421	0.439925	0.439925	0.709027	0.709027
017   	000	-	6.000000	0.622966	122.883614	0.115228	0.706974	0.843619	0.440551	0.440551	0.707182	0.707182
018   	000	-	9.000000	0.776283	27.022659	0.061134	0.600886	0.893349	0.466521	0.466521	0.600967	0.600967
019   	000	-	7.000000	0.620463	124.922722	0.115910	0.708816	0.842421	0.439925	0.439925	0.709027	0.709027
020   	000	-	7.000000	0.648936	102.244286	0.107611	0.687861	0.855003	0.446496	0.446496	0.688042	0.688042
021   	000	-	7.000000	0.622966	122.883614	0.115228	0.706974	0.843619	0.440551	0.440551	0.707182	0.707182
022   	000	-	10.000000	0.776283	27.022659	0.061134	0.600886	0.893349	0.466521	0.466521	0.600967	0.600967
023   	000	-	6.000000	0.652065	99.784172	0.106603	0.685523	0.856201	0.447121	0.447121	0.685701	0.685701
024   	001	-	3.000000	0.650188	71.361435	0.091102	0.617788	0.840864	0.401752	0.401752	0.617902	0.617902
025   	001	-	3.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
026   	001	-	4.000000	0.650188	71.361435	0.091102	0.617788	0.840864	0.401752	0.401752	0.617902	0.617902
027   	001	-	4.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
028   	001	-	4.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
029   	001	-	5.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
030   	001	-	4.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
031   	001	-	5.000000	0.284105	420.865784	0.133971	0.948352	0.564506	0.269712	0.269712	0.949339	0.949339
-    	- 	032	6.500000	0.574918	173.242126	0.110182	0.739194	0.791394	0.938673	0.406240	0.739543	0.739543
