Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
001   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
002   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
003   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
004   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
005   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
006   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
007   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
008   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
009   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
010   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
011   	001	-	6.000000	0.008351	7.363639	0.005457	0.900000	0.024096	0.008351	0.008351	1.000000	1.000000
-    	- 	012	4.000000	0.081594	31.356966	0.028923	0.956372	0.150814	0.850731	0.073591	0.983261	0.983261
