Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
001   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
002   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
003   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
004   	000	-	4.000000	0.081420	28.827421	0.028216	0.987500	0.124601	0.081420	0.081420	1.000000	1.000000
005   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
006   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
007   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
008   	001	-	6.000000	0.012526	11.045458	0.008185	0.928571	0.036145	0.012526	0.012526	1.000000	1.000000
009   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
-    	- 	010	3.800000	0.133612	26.561193	0.029307	0.929548	0.194176	0.828810	0.111169	0.950487	0.950487
