Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.837500	0.805376	0.048594	0.884058	1.000000	0.750000	0.679651	0.888973	0.895522
001   	000	-	3.000000	0.562500	6.931365	0.091406	0.978723	0.686567	0.562500	0.466883	0.987298	1.000000
002   	000	-	3.000000	0.787500	1.655666	0.065469	0.907692	0.985075	0.725000	0.615936	0.904283	0.920635
003   	000	-	4.000000	0.737500	2.080678	0.069844	0.918033	0.925373	0.687500	0.587828	0.916488	0.932203
004   	000	-	5.000000	0.637500	3.375256	0.078594	0.943396	0.805970	0.612500	0.520292	0.943757	0.960784
005   	000	-	4.000000	0.587500	4.460213	0.082969	0.959184	0.746269	0.575000	0.486024	0.955065	0.978723
006   	000	-	5.000000	0.587500	4.460213	0.082969	0.959184	0.746269	0.575000	0.486024	0.958350	0.978723
007   	000	-	4.000000	0.762500	2.268883	0.073906	0.920635	0.865672	0.712500	0.600325	0.926585	0.934426
008   	000	-	5.000000	0.650000	3.494877	0.080625	0.944444	0.761194	0.625000	0.529058	0.946283	0.961538
-    	- 	009	3.888889	0.683333	3.281392	0.074931	0.935039	0.835821	0.787500	0.552447	0.936343	0.951395
