Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.837500	0.805376	0.048594	0.884058	1.000000	0.750000	0.679651	0.888973	0.895522
001   	000	-	3.000000	0.787500	1.655666	0.065469	0.907692	0.985075	0.725000	0.615936	0.904283	0.920635
002   	000	-	5.000000	0.600000	4.595758	0.085000	0.960000	0.716418	0.587500	0.498052	0.964780	0.979167
003   	000	-	5.000000	0.650000	3.494877	0.080625	0.944444	0.761194	0.625000	0.529058	0.946283	0.961538
004   	000	-	4.000000	0.600000	4.595758	0.085000	0.960000	0.716418	0.587500	0.498052	0.964780	0.979167
005   	000	-	4.000000	0.737500	2.080678	0.069844	0.918033	0.925373	0.687500	0.587828	0.916488	0.932203
006   	000	-	5.000000	0.637500	3.375256	0.078594	0.943396	0.805970	0.612500	0.520292	0.943757	0.960784
007   	000	-	4.000000	0.762500	2.268883	0.073906	0.920635	0.865672	0.712500	0.600325	0.926585	0.934426
008   	000	-	3.000000	0.562500	6.931365	0.091406	0.978723	0.686567	0.562500	0.466883	0.987298	1.000000
009   	000	-	4.000000	0.587500	4.460213	0.082969	0.959184	0.746269	0.575000	0.486024	0.955065	0.978723
-    	- 	010	3.900000	0.676250	3.426383	0.076141	0.937617	0.820895	0.787500	0.548210	0.939829	0.954217
