Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.478079	20.401333	0.069648	0.797826	0.584665	0.382046	0.382046	0.799127	0.799127
001   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
002   	000	-	2.000000	0.436326	2.251020	0.022819	0.704762	0.471246	0.307933	0.307933	0.705742	0.705742
003   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
004   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
005   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
006   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
007   	001	-	4.000000	0.052192	46.022743	0.034105	0.980769	0.150602	0.052192	0.052192	1.000000	1.000000
008   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
009   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
010   	001	-	4.000000	0.037578	33.136375	0.024555	0.973684	0.108434	0.037578	0.037578	1.000000	1.000000
-    	- 	011	3.454545	0.152780	28.706102	0.030075	0.910090	0.225360	0.983299	0.120706	0.928237	0.928237
